utc_time,Denmark,Sweden,Finland,Norway
2015-02-28T15:00:00Z,2115.35032718171,3989.448938997286,2492.6202622790124,2300.215736677766
2015-02-28T16:00:00Z,2291.2357720095006,4321.160425381744,2699.874643732609,2491.4722216423484
2015-02-28T17:00:00Z,2418.627289833729,4561.41469867662,2849.9862703936205,2629.9967819731933
2015-02-28T18:00:00Z,2373.523129211401,4476.350421886665,2796.8378423362738,2580.9508633279606
2015-02-28T19:00:00Z,2070.700361377672,3905.2412517814732,2440.0070340855104,2251.663705997625
2015-02-28T20:00:00Z,1642.2881679263653,3097.276467577197,1935.1880921437053,1785.8115695932304
2015-02-28T21:00:00Z,1216.8490840320662,2294.9188249491012,1433.8725099189855,1323.1923697393536
2015-02-28T22:00:00Z,918.3984565285034,1732.0553011452328,1082.1936074478283,998.6594443020446
2015-02-28T23:00:00Z,687.2822906698336,1296.1813322701053,809.8581788632507,747.3454964998303
2015-03-01T00:00:00Z,494.4026768139364,922.6475460161981,574.0497052215769,535.135576689395
2015-03-01T01:00:00Z,336.43447127897315,627.849430996551,390.6332188746507,364.15266997799955
2015-03-01T02:00:00Z,249.41388655354527,465.4528002436257,289.5938367018861,269.9626241413029
2015-03-01T03:00:00Z,225.55476317579462,420.92722894931023,261.8910685249301,244.13779279059992
2015-03-01T04:00:00Z,267.9818199383863,500.10402479304935,311.15301747904294,290.0603343799686
2015-03-01T05:00:00Z,480.6445737657702,896.9723613731227,558.0752063574048,520.2439695964111
2015-03-01T06:00:00Z,953.0826136283619,1778.6298008775761,1106.6218268293746,1031.6052845089941
2015-03-01T07:00:00Z,1568.7545911980442,2927.5884653335665,1821.4770123122598,1698.001309893469
2015-03-01T08:00:00Z,1933.9941337090465,3609.1935281894,2245.5557269843694,2093.332246349852
2015-03-01T09:00:00Z,1988.0748089217605,3710.118148164077,2308.3486630261086,2151.8685259351646
2015-03-01T10:00:00Z,1847.0213492469438,3446.886101637269,2144.5718455771917,1999.193938949616
2015-03-01T11:00:00Z,1868.5849688728606,3487.1278350746597,2169.6093101183196,2022.5341443433026
2015-03-01T12:00:00Z,2015.959435415648,3762.156058581471,2340.725432751921,2182.050513977253
2015-03-01T13:00:00Z,2205.4587951491444,4115.797184387007,2560.7526629758995,2387.1623669444643
2015-03-01T14:00:00Z,2364.4405566088017,4412.486783677524,2745.3459865591158,2559.242334532964
2015-03-01T15:00:00Z,2461.697439811736,4593.986255320032,2858.2707091621546,2664.5120280856186
2015-03-01T16:00:00Z,2490.508490256724,4647.753045505154,2891.7231474087494,2695.696766392989
2015-03-01T17:00:00Z,2459.725231535452,4590.305747079113,2855.9807830902896,2662.3773333058857
2015-03-01T18:00:00Z,2332.200138674817,4352.3201545625225,2707.9117183417743,2524.345689646263
2015-03-01T19:00:00Z,2065.576594002445,3854.750924583043,2398.335790859675,2235.7555362581647
